Category,SubCategory,Extension,Products
Baby,Baby Accessories,Baby Bibs,7
Baby,Baby Accessories,Baby Health & Safety,9
Baby,Baby Accessories,Baby Teething & Soothers,39
Baby,Baby Accessories,Bath & Skincare,109
Baby,Baby Accessories,Bottles and Baby Feeding,54
Baby,Baby Food,Baby & Toddler Snacks,95
Baby,Baby Formula,Specialty,16
Baby,Nappies Wipes,Nappy Pants,42
Baby,Nappies Wipes,Swimming Nappies,20
Bakery,In-Store Bakery,Bread Rolls,205
Bakery,In-Store Bakery,Donuts & Cookies,43
Bakery,Packaged Bread & Bakery,Gluten Free Bakery,46
Bakery,Packaged Bread & Bakery,Packaged Bread,226
Bakery,Packaged Bread & Bakery,Pizza Bases,17
"Dairy, Eggs & Fridge",Cheese,Block Cheese,54
"Dairy, Eggs & Fridge",Cheese,Grated Cheese,51
"Dairy, Eggs & Fridge",Cheese,Sliced Cheese,57
"Dairy, Eggs & Fridge","Cream, Custard & Desserts",Cream,34
"Dairy, Eggs & Fridge","Cream, Custard & Desserts",Custard,20
"Dairy, Eggs & Fridge",Dips & Pate,Dips,155
"Dairy, Eggs & Fridge",Dips & Pate,"Pate, Paste & Caviar",6
"Dairy, Eggs & Fridge",Dips & Pate,Pate,0
"Dairy, Eggs & Fridge",Dips & Pate,Paste,0
"Dairy, Eggs & Fridge","Eggs, Butter & Margarine",Butter & Margarine,110
"Dairy, Eggs & Fridge","Eggs, Butter & Margarine",Eggs,88
"Dairy, Eggs & Fridge",Fresh Pasta & Sauces,Fresh Pasta & Noodles,68
"Dairy, Eggs & Fridge",Fresh Pasta & Sauces,Pasta Sauces,26
"Dairy, Eggs & Fridge",Milk,Long Life Milk,19
"Dairy, Eggs & Fridge",Milk,Lactose Free Milk,9
Deli & Chilled Meats,Deli Meats,Deli Poultry,25
Deli & Chilled Meats,Deli Meats,Sliced & Shaved Deli Meat,8
Deli & Chilled Meats,Deli Specialties,Antipasto,0
Deli & Chilled Meats,Deli Specialties,Gourmet Cheese,229
Deli & Chilled Meats,Deli Specialties,Platters,10
Deli & Chilled Meats,Ready to Eat Meals,Chilled Quiches & Pies,1
Drinks,Chilled Drinks,Chilled Soft Drinks & Energy Drinks,55
Drinks,Chilled Drinks,Chilled Water,7
Drinks,Coffee,Coffee Beans,124
Drinks,Coffee,Coffee Capsules,106
Drinks,Coffee,Ground Coffee,60
Drinks,Coffee,Instant & Flavoured Coffee,86
Drinks,"Cordials, Juices & Iced Teas",Chilled Juices,264
Drinks,"Cordials, Juices & Iced Teas",Cordials,89
Drinks,"Cordials, Juices & Iced Teas",Iced Teas,16
Drinks,Flavoured Milk,Drinking Chocolate,14
Drinks,Flavoured Milk,Drinks & Powders,84
Drinks,Flavoured Milk,Kids Milk,7
Drinks,Long Life Milk,Almond Milk,23
Drinks,Long Life Milk,Lactose Free Milk,9
Drinks,Long Life Milk,Oat & Rice Milk,25
Drinks,Long Life Milk,Powdered Milk,4
Drinks,Long Life Milk,Soy Milk,13
Drinks,Soft Drinks,Mixers,101
Drinks,Soft Drinks,Soft Drink Bottles,92
Drinks,Soft Drinks,Soft Drink Cans,72
Drinks,Sports & Energy Drinks,Energy Drinks,71
Drinks,Sports & Energy Drinks,Sports Drinks,42
Drinks,Tea,Black Tea,98
Drinks,Tea,Green Tea,23
Drinks,Tea,Herbal & Specialty Tea,82
Drinks,Water,Flavoured & Coconut Water,16
Drinks,Water,Sparkling Water,76
Drinks,Water,Still Water,38
Freezer,Frozen Desserts,Assorted Desserts,19
Freezer,Frozen Desserts,Cakes & Cheesecakes,19
Freezer,Frozen Desserts,Dessert Pies & Pastries,8
Freezer,Frozen Fruit,Berries & Tropical,41
Freezer,Frozen Meat,Chicken Pieces & Nuggets,56
Freezer,Frozen Meat,Whole Birds & Roasts,0
Freezer,Frozen Party Food,Pastry Sheets,17
Freezer,Frozen Party Food,"Pies, Pastries & Quiches",102
Freezer,Frozen Pizzas,Pizzas,42
Freezer,Frozen Seafood,Fish Fillets,58
Freezer,Frozen Seafood,Fish Fingers & Cakes,17
Freezer,Frozen Seafood,Frozen Seafood,107
Freezer,Frozen Vegetables,Beans & Peas,12
Freezer,Frozen Vegetables,Corn,6
Freezer,Frozen Vegetables,Mixed Vegetables,29
Freezer,Frozen Vegetables,Other Vegetables,18
Freezer,Frozen Vegetables,Steam Packs,7
Freezer,Ice Cream,Frozen Yoghurt,6
Freezer,Ice Cream,Gelato & Sorbet,12
Freezer,Ice Cream,Ice Cream Sticks & Cones,217
Freezer,Ice Cream,Ice Cream Tubs,170
Freezer,Ice Cream,Premium Ice Cream,207
Fruit & Veg,Fruit,Apples & Pears,21
Fruit & Veg,Fruit,Bananas,7
Fruit & Veg,Fruit,Berries & Cherries,16
Fruit & Veg,Fruit,Grapes,8
Fruit & Veg,Fruit,Melons & Mangoes,21
Fruit & Veg,Fruit,Pineapples & Kiwi Fruit,8
Fruit & Veg,Fruit,Tropical & Exotic Fruit,10
Fruit & Veg,Organic,Organic Fruit,10
Fruit & Veg,Organic,Organic Vegetables,42
Fruit & Veg,Salad,Herbs,50
Fruit & Veg,Salad,Sprouts,4
Fruit & Veg,Vegetables,"Broccoli, Cauliflower & Cabbage",9
Fruit & Veg,Vegetables,Capsicum & Mushrooms,26
Fruit & Veg,Vegetables,Onions & Leeks,13
Fruit & Veg,Vegetables,Cucumber,7
Fruit & Veg,Vegetables,Potatoes & Pumpkins,32
Fruit & Veg,Vegetables,Tomatoes,24
Fruit & Veg,Vegetables,"Zucchini, Eggplant & Squash",8
Health & Beauty,Cosmetics,Lips,81
Health & Beauty,Cosmetics,Nails,26
Health & Beauty,Dental Care,Denture Care,11
Health & Beauty,Dental Care,Toothbrushes,279
Health & Beauty,Dental Care,Toothpaste,164
Health & Beauty,First Aid & Medicinal,Antiseptic,19
Health & Beauty,First Aid & Medicinal,"Cold, Flu & Allergies",115
Health & Beauty,First Aid & Medicinal,Cotton Wool & Cotton Buds,6
Health & Beauty,First Aid & Medicinal,Medicinal Oils & Ointments,42
Health & Beauty,First Aid & Medicinal,Quit Smoking,40
Health & Beauty,Hair Care,Colouring,211
Health & Beauty,Hair Care,Hair Accessories & Brushes,147
Health & Beauty,Hair Care,Mens Hair Care,55
Health & Beauty,Hair Care,Shampoo & Conditioner,463
Health & Beauty,Hair Care,Styling Products,166
Health & Beauty,Personal Care & Hygiene,Contraception & Sexual Health,78
Health & Beauty,Personal Care & Hygiene,Female Deodorants & Body Sprays,119
Health & Beauty,Personal Care & Hygiene,Male Deodorants & Body Sprays,114
Health & Beauty,Personal Care & Hygiene,Pregnancy Tests,16
Health & Beauty,Shaving & Hair Removal,After Shave Care,38
Health & Beauty,Shaving & Hair Removal,Shave Gel & Foam,27
Health & Beauty,Skin Care,Body Moisturiser,85
Health & Beauty,Skin Care,Face Moisturiser,260
Health & Beauty,Skin Care,183 Hand Moisturiser,17
Health & Beauty,Skin Care,Lip Care,38
Health & Beauty,Skin Care,Self-Tanning,49
Health & Beauty,Vitamins,Brain & Heart Health,40
Health & Beauty,Vitamins,Detox & Digestion,76
Health & Beauty,Vitamins,"Hair, Skin & Nails",58
Health & Beauty,Vitamins,Others,118
Household,Cleaning Goods,Bathroom Cleaners,18
Household,Cleaning Goods,Disinfectant & Bleach,13
Household,Cleaning Goods,Drain Cleaners & Solvents,14
Household,Cleaning Goods,"Fabric, Metal & Furniture Care",12
Household,Cleaning Goods,Floor/Carpet Cleaners,31
Household,Cleaning Goods,Gloves,31
Household,Cleaning Goods,Kitchen Cleaners,21
Household,Cleaning Goods,"Mops, Buckets & Brooms",71
Household,Cleaning Goods,Multipurpose Cleaners,62
Household,Cleaning Goods,"Sponges, Cloths & Wipes",73
Household,Cleaning Goods,Window & Glass Cleaners,8
Household,Homewares,Water Filtration,16
Household,Kitchen,Sandwich & Freezer Bags,41
Household,Laundry,Fabric Softener,53
Household,Laundry,Ironing & Accessories,51
Household,Laundry,Laundry Liquid,117
Household,Laundry,Laundry Powder,33
Household,Laundry,"Pegs, Baskets & Hangers",15
Household,Parties & Entertaining,Candles,41
Household,Parties & Entertaining,Decorations,55
Household,Pest Control,Crawling Insects,29
Household,Pest Control,Flying Insects,45
Household,Pest Control,Garden Pests,27
Household,Pest Control,Mosquitoes,16
Household,Pest Control,Rodents,9
Pantry,Baking,Cooking Chocolate & Cocoa,44
Pantry,Baking,"Flavouring, Essence & Food Colouring",28
Pantry,Baking,Flour,72
Pantry,Baking,Icing & Cake Decorating,63
Pantry,Baking,"Nuts, Seeds & Coconut",63
Pantry,Baking,Sugar & Sweeteners,74
Pantry,Baking,Yeast & Baking Ingredients,42
Pantry,Breakfast & Spreads,Breakfast Cereal,105
Pantry,Breakfast & Spreads,Honey,69
Pantry,Breakfast & Spreads,Jam,50
Pantry,Breakfast & Spreads,Savoury Spread,28
Pantry,Breakfast & Spreads,Muesli & Oats,181
Pantry,Canned Food & Instant Meals,Baked Beans & Spaghetti,52
Pantry,Canned Food & Instant Meals,Canned Fruit,102
Pantry,Canned Food & Instant Meals,Canned Meat,47
Pantry,Canned Food & Instant Meals,Canned Soup & Soup Ingredients,199
Pantry,Canned Food & Instant Meals,Canned Vegetables,163
Pantry,Canned Food & Instant Meals,Instant Meals & Sides,151
Pantry,Condiments,Mustard,20
Pantry,Condiments,Sweet Chilli & Hot Sauce,64
Pantry,Condiments,Tomato & BBQ Sauce,57
Pantry,Desserts,"Custard, Cream & Yoghurt",17
Pantry,Desserts,"Ice Cream Cones, Syrups & Toppings",32
Pantry,Desserts,Jelly,36
Pantry,Desserts,Puddings,14
Pantry,Desserts,Ready to Freeze Ice Blocks,7
Pantry,Health Foods,Health Breakfast Food & Spread,14
Pantry,Health Foods,Health Cooking & Pasta,219
Pantry,Health Foods,Health Snacks & Drinks,194
Pantry,Herbs & Spices,Dried Herbs & Spices,57
Pantry,Herbs & Spices,Salt & Pepper,118
Pantry,International Foods,Asian,662
Pantry,International Foods,European,33
Pantry,International Foods,Indian,313
Pantry,International Foods,Mexican,117
Pantry,International Foods,Middle Eastern,144
Pantry,International Foods,UK Foods,58
Pantry,"Pasta, Rice & Grains",Beans & Legumes,0
Pantry,"Pasta, Rice & Grains",Rice,0
Pantry,"Sauce, Oil & Vinegar",Marinades & Seasoning,0
Pantry,"Sauce, Oil & Vinegar",Pizza & Pasta Sauce,0
Pantry,"Sauce, Oil & Vinegar",Soy & Asian Sauces,0
Pantry,"Sauce, Oil & Vinegar",Stock & Gravy,0
Pantry,Snacks & Confectionery,Biscuits & Cookies,0
Pantry,Snacks & Confectionery,Corn Chips & Salsa,0
Pantry,Snacks & Confectionery,Muesli Bars & Snack,0
Pantry,Tea & Coffee,Black Tea,0
Pantry,Tea & Coffee,Green Tea,0
Pantry,Tea & Coffee,Herbal & Specialty Tea,0
Pet,"Birds, Fish & Small Pets",Bird Treats,0
Pet,"Birds, Fish & Small Pets",Small Pets Food,0
Pet,Cat & Kitten,Dry Cat Food,0
Pet,Cat & Kitten,Kitten Food,0
Pet,Dog & Puppy,Puppy Food,0
"Poultry, Meat & Seafood",BBQ Meat & Seafood,Burgers & Sausages,0
"Poultry, Meat & Seafood",BBQ Meat & Seafood,Kebabs,0
"Poultry, Meat & Seafood",Seafood,Crab & Lobster,0
"Poultry, Meat & Seafood",Seafood,Prepacked Seafood,0
